log_time,breath_rate
2026-04-26 09:10:58.708049,18.0
2026-04-26 09:10:59.307697,18.0
2026-04-26 09:10:59.907609,19.0
2026-04-26 09:11:00.609634,20.0
2026-04-26 09:11:01.207731,21.0
2026-04-26 09:11:01.807583,21.0
2026-04-26 09:11:02.407592,22.0
2026-04-26 09:11:03.007754,22.0
2026-04-26 09:11:03.707633,22.0
2026-04-26 09:11:04.308910,23.0
2026-04-26 09:11:04.907828,21.0
2026-04-26 09:11:05.507974,19.0
2026-04-26 09:11:06.107604,19.0
2026-04-26 09:11:06.807529,20.0
2026-04-26 09:11:07.407915,20.0
2026-04-26 09:11:08.008757,17.0
2026-04-26 09:11:08.608603,13.0
2026-04-26 09:11:09.208570,10.0
2026-04-26 09:11:09.908568,13.0
2026-04-26 09:11:10.507772,16.0
2026-04-26 09:11:11.107865,18.0
2026-04-26 09:11:11.707615,14.0
2026-04-26 09:11:12.309357,11.0
2026-04-26 09:11:13.008169,14.0
2026-04-26 09:11:13.607596,19.0
2026-04-26 09:11:14.207611,20.0
2026-04-26 09:11:14.907588,16.0
2026-04-26 09:11:15.607686,12.0
2026-04-26 09:11:16.207547,9.0
2026-04-26 09:11:16.807656,9.0
2026-04-26 09:11:17.407627,9.0
2026-04-26 09:11:18.007538,9.0
2026-04-26 09:11:18.707640,9.0
2026-04-26 09:11:19.307867,9.0
2026-04-26 09:11:19.908328,9.0
2026-04-26 09:11:20.507925,9.0
2026-04-26 09:11:21.108667,9.0
2026-04-26 09:11:21.707683,9.0
2026-04-26 09:11:22.407541,9.0
2026-04-26 09:11:23.007815,9.0
2026-04-26 09:11:23.607790,12.0
2026-04-26 09:11:24.208617,15.0
2026-04-26 09:11:24.807532,16.0
2026-04-26 09:11:25.507679,18.0
2026-04-26 09:11:26.107724,19.0
2026-04-26 09:11:26.709765,20.0
2026-04-26 09:11:27.308539,20.0
2026-04-26 09:11:27.907586,20.0
2026-04-26 09:11:28.608568,18.0
2026-04-26 09:11:29.208574,17.0
2026-04-26 09:11:29.807847,17.0
2026-04-26 09:11:30.407920,16.0
2026-04-26 09:11:31.008044,13.0
2026-04-26 09:11:31.707687,10.0
2026-04-26 09:11:32.307644,8.0
2026-04-26 09:11:32.907768,8.25
2026-04-26 09:11:33.507950,8.5
2026-04-26 09:11:34.107909,8.75
2026-04-26 09:11:34.807641,9.0
2026-04-26 09:11:35.407705,12.0
2026-04-26 09:11:36.007737,13.0
2026-04-26 09:11:36.607560,14.0
2026-04-26 09:11:37.207668,15.0
2026-04-26 09:11:37.907655,16.0
2026-04-26 09:11:38.507590,15.0
2026-04-26 09:11:39.107827,14.0
2026-04-26 09:11:39.707747,13.0
2026-04-26 09:11:40.307528,13.0
2026-04-26 09:11:41.008847,13.0
2026-04-26 09:11:41.608026,13.0
2026-04-26 09:11:42.207785,13.0
2026-04-26 09:11:42.807571,12.0
2026-04-26 09:11:43.407711,9.0
2026-04-26 09:11:44.107671,9.0
2026-04-26 09:11:44.707717,9.0
2026-04-26 09:11:45.307814,9.0
2026-04-26 09:11:45.907726,9.0
2026-04-26 09:11:46.607551,9.0
2026-04-26 09:11:47.208070,9.0
2026-04-26 09:11:47.808982,9.0
2026-04-26 09:11:48.407767,9.0
2026-04-26 09:11:49.010630,11.0
2026-04-26 09:11:49.707727,11.0
2026-04-26 09:11:50.307671,15.0
2026-04-26 09:11:50.909594,16.0
2026-04-26 09:11:51.507582,16.0
2026-04-26 09:11:52.108299,17.0
2026-04-26 09:11:52.807741,17.0
2026-04-26 09:11:53.408135,18.0
2026-04-26 09:11:54.007749,17.833333333333332
2026-04-26 09:11:54.707677,17.666666666666668
2026-04-26 09:11:55.308455,17.5
2026-04-26 09:11:56.007579,17.333333333333332
2026-04-26 09:11:56.607572,17.166666666666668
2026-04-26 09:11:57.207828,17.0
2026-04-26 09:11:57.807599,17.0
2026-04-26 09:11:58.507578,16.0
2026-04-26 09:11:59.109585,14.0
2026-04-26 09:11:59.708802,10.0
2026-04-26 09:12:00.309266,8.0
2026-04-26 09:12:00.909799,8.5
2026-04-26 09:12:01.607601,9.0
2026-04-26 09:12:02.207606,9.5
2026-04-26 09:12:02.808893,10.0
2026-04-26 09:12:03.407730,10.5
2026-04-26 09:12:04.007522,11.0
2026-04-26 09:12:04.707532,11.5
2026-04-26 09:12:05.307679,12.0
2026-04-26 09:12:05.907605,16.0
2026-04-26 09:12:06.507766,18.0
2026-04-26 09:12:07.107566,20.0
2026-04-26 09:12:07.708321,21.0
2026-04-26 09:12:08.408683,21.0
2026-04-26 09:12:09.007749,22.0
2026-04-26 09:12:09.607599,22.166666666666668
2026-04-26 09:12:10.207709,22.333333333333332
2026-04-26 09:12:10.808316,22.5
2026-04-26 09:12:11.507713,22.666666666666668
2026-04-26 09:12:12.107775,22.833333333333332
2026-04-26 09:12:12.708072,23.0
2026-04-26 09:12:13.307732,23.0
2026-04-26 09:12:13.907758,23.0
2026-04-26 09:12:14.507804,24.0
2026-04-26 09:12:15.207757,25.0
2026-04-26 09:12:15.809943,25.0
2026-04-26 09:12:16.408257,21.0
2026-04-26 09:12:17.007701,16.0
2026-04-26 09:12:17.607779,14.0
2026-04-26 09:12:18.207627,18.0
2026-04-26 09:12:18.907528,14.0
2026-04-26 09:12:19.507570,11.0
2026-04-26 09:12:20.107634,12.0
2026-04-26 09:12:20.707593,13.0
2026-04-26 09:12:21.307546,15.0
2026-04-26 09:12:21.907581,16.0
2026-04-26 09:12:22.607607,16.0
2026-04-26 09:12:23.208154,16.0
2026-04-26 09:12:23.807825,16.0
2026-04-26 09:12:24.407871,17.0
2026-04-26 09:12:25.007755,17.0
2026-04-26 09:12:25.707838,17.0
2026-04-26 09:12:26.307735,16.0
2026-04-26 09:12:26.909124,16.0
2026-04-26 09:12:27.507684,15.0
2026-04-26 09:12:28.107707,14.0
2026-04-26 09:12:28.708512,11.0
2026-04-26 09:12:29.408478,9.0
2026-04-26 09:12:30.008576,9.0
2026-04-26 09:12:30.609166,9.0
2026-04-26 09:12:31.207690,9.0
2026-04-26 09:12:31.807953,9.0
2026-04-26 09:12:32.408350,9.0
2026-04-26 09:12:33.107795,9.0
2026-04-26 09:12:33.707733,9.0
2026-04-26 09:12:34.307585,9.0
2026-04-26 09:12:35.008402,9.0
2026-04-26 09:12:35.608534,9.0
2026-04-26 09:12:36.208200,9.0
2026-04-26 09:12:36.907744,13.0
2026-04-26 09:12:37.507749,15.0
2026-04-26 09:12:38.107619,16.0
2026-04-26 09:12:38.708552,18.0
2026-04-26 09:12:39.307775,19.0
2026-04-26 09:12:40.007534,20.0
2026-04-26 09:12:40.607553,21.0
2026-04-26 09:12:41.207839,21.0
2026-04-26 09:12:41.807573,22.0
2026-04-26 09:12:42.407788,22.0
2026-04-26 09:12:43.007873,24.0
2026-04-26 09:12:43.707601,23.0
2026-04-26 09:12:44.307740,23.0
2026-04-26 09:12:44.910012,20.0
2026-04-26 09:12:45.507717,18.0
2026-04-26 09:12:46.107634,14.0
2026-04-26 09:12:46.807629,13.0
2026-04-26 09:12:47.408115,13.0
2026-04-26 09:12:48.008063,13.0
2026-04-26 09:12:48.607698,17.0
2026-04-26 09:12:49.209038,19.0
2026-04-26 09:12:49.907588,21.0
2026-04-26 09:12:50.509043,23.0
2026-04-26 09:12:51.107620,24.0
2026-04-26 09:12:51.707756,25.0
2026-04-26 09:12:52.308326,25.0
2026-04-26 09:12:52.908494,24.0
2026-04-26 09:12:53.607719,25.0
2026-04-26 09:12:54.208705,26.0
2026-04-26 09:12:54.808224,26.0
2026-04-26 09:12:55.407590,27.0
2026-04-26 09:12:56.007580,27.0
2026-04-26 09:12:56.707549,27.0
2026-04-26 09:12:57.307726,23.0
2026-04-26 09:12:57.908346,18.0
2026-04-26 09:12:58.508568,14.0
2026-04-26 09:12:59.108706,12.0
2026-04-26 09:12:59.807648,11.0
2026-04-26 09:13:00.408695,11.0
2026-04-26 09:13:01.007747,13.0
2026-04-26 09:13:01.607555,16.0
2026-04-26 09:13:02.207582,15.0
2026-04-26 09:13:02.807778,13.0
2026-04-26 09:13:03.507796,13.0
2026-04-26 09:13:04.107856,13.0
2026-04-26 09:13:04.708264,14.0
2026-04-26 09:13:05.307611,16.0
2026-04-26 09:13:05.907659,20.0
2026-04-26 09:13:06.609314,15.0
2026-04-26 09:13:07.207660,12.0
2026-04-26 09:13:07.807923,9.0
2026-04-26 09:13:08.410762,8.75
2026-04-26 09:13:09.007580,8.5
2026-04-26 09:13:09.707732,8.25
2026-04-26 09:13:10.308719,8.0
2026-04-26 09:13:10.907822,10.0
2026-04-26 09:13:11.508346,10.0
2026-04-26 09:13:12.207532,13.0
2026-04-26 09:13:12.807551,15.0
2026-04-26 09:13:13.407618,16.0
2026-04-26 09:13:14.009713,17.0
2026-04-26 09:13:14.607563,17.0
2026-04-26 09:13:15.308342,18.0
2026-04-26 09:13:16.007578,18.0
2026-04-26 09:13:16.607563,19.0
2026-04-26 09:13:17.207607,20.0
2026-04-26 09:13:17.807632,21.0
2026-04-26 09:13:18.411944,22.0
2026-04-26 09:13:19.107786,22.0
2026-04-26 09:13:19.707573,22.0
2026-04-26 09:13:20.307785,23.0
2026-04-26 09:13:20.907565,23.0
2026-04-26 09:13:21.507571,23.0
2026-04-26 09:13:22.207937,20.0
2026-04-26 09:13:22.807698,19.0
2026-04-26 09:13:23.407603,18.0
2026-04-26 09:13:24.007601,17.0
2026-04-26 09:13:24.607630,16.0
2026-04-26 09:13:25.309261,13.0
2026-04-26 09:13:25.907790,10.0
2026-04-26 09:13:26.508672,11.0
2026-04-26 09:13:27.107861,12.0
2026-04-26 09:13:27.708110,13.0
2026-04-26 09:13:28.408611,13.0
2026-04-26 09:13:29.008074,14.0
2026-04-26 09:13:29.608329,14.0
2026-04-26 09:13:30.207869,14.0
2026-04-26 09:13:30.907714,14.0
2026-04-26 09:13:31.507539,15.0
2026-04-26 09:13:32.107568,16.0
2026-04-26 09:13:32.707603,19.0
2026-04-26 09:13:33.307667,20.0
2026-04-26 09:13:34.007727,16.0
2026-04-26 09:13:34.608021,17.0
2026-04-26 09:13:35.207996,17.0
2026-04-26 09:13:35.807871,18.0
2026-04-26 09:13:36.407589,18.0
2026-04-26 09:13:37.109002,17.0
2026-04-26 09:13:37.708499,16.0
2026-04-26 09:13:38.307552,16.0
2026-04-26 09:13:38.907915,16.0
2026-04-26 09:13:39.508233,15.0
2026-04-26 09:13:40.207638,15.0
2026-04-26 09:13:40.807821,15.0
2026-04-26 09:13:41.407519,11.0
2026-04-26 09:13:42.008736,9.0
2026-04-26 09:13:42.608206,9.2
2026-04-26 09:13:43.208073,9.4
2026-04-26 09:13:43.907699,9.6
2026-04-26 09:13:44.507743,9.8
2026-04-26 09:13:45.107749,10.0
2026-04-26 09:13:45.707684,15.0
2026-04-26 09:13:46.307807,17.0
2026-04-26 09:13:46.908779,20.0
2026-04-26 09:13:47.608762,21.0
2026-04-26 09:13:48.208652,21.0
2026-04-26 09:13:48.807703,22.0
2026-04-26 09:13:49.409396,22.0
2026-04-26 09:13:50.007856,22.0
2026-04-26 09:13:50.609255,23.0
2026-04-26 09:13:51.307628,23.0
2026-04-26 09:13:51.907629,23.0
2026-04-26 09:13:52.507698,24.0
2026-04-26 09:13:53.107718,25.0
2026-04-26 09:13:53.807595,25.0
2026-04-26 09:13:54.407833,23.0
2026-04-26 09:13:55.107524,22.0
2026-04-26 09:13:55.707541,18.0
2026-04-26 09:13:56.309657,17.0
2026-04-26 09:13:57.009723,17.0
2026-04-26 09:13:57.607607,13.0
2026-04-26 09:13:58.207529,10.0
2026-04-26 09:13:58.807895,8.0
2026-04-26 09:13:59.407879,8.0
2026-04-26 09:14:00.107632,8.0
2026-04-26 09:14:00.708212,8.0
2026-04-26 09:14:01.307653,8.0
2026-04-26 09:14:01.907809,8.0
2026-04-26 09:14:02.608884,8.0
2026-04-26 09:14:03.209625,8.0
2026-04-26 09:14:03.807681,8.0
2026-04-26 09:14:04.407655,11.0
2026-04-26 09:14:05.007825,15.0
2026-04-26 09:14:05.707714,17.0
2026-04-26 09:14:06.309248,14.0
2026-04-26 09:14:06.908123,16.0
2026-04-26 09:14:07.507578,18.0
2026-04-26 09:14:08.108783,19.0
2026-04-26 09:14:08.809198,20.0
2026-04-26 09:14:09.407985,16.0
2026-04-26 09:14:10.009825,12.0
2026-04-26 09:14:10.607915,12.0
2026-04-26 09:14:11.208100,13.0
2026-04-26 09:14:11.907796,10.0
2026-04-26 09:14:12.508705,8.0
2026-04-26 09:14:13.107601,8.2
2026-04-26 09:14:13.707635,8.4
2026-04-26 09:14:14.407517,8.6
2026-04-26 09:14:15.007679,8.8
2026-04-26 09:14:15.608999,9.0
2026-04-26 09:14:16.207654,11.0
2026-04-26 09:14:16.807638,13.0
2026-04-26 09:14:17.507559,14.0
2026-04-26 09:14:18.107677,15.0
2026-04-26 09:14:18.707631,16.0
2026-04-26 09:14:19.307612,17.0
2026-04-26 09:14:20.007696,17.0
2026-04-26 09:14:20.607560,17.0
2026-04-26 09:14:21.209245,18.0
2026-04-26 09:14:21.808765,19.0
2026-04-26 09:14:22.407688,20.0
2026-04-26 09:14:23.107921,21.0
2026-04-26 09:14:23.708278,21.0
2026-04-26 09:14:24.307591,22.0
2026-04-26 09:14:24.907770,22.0
2026-04-26 09:14:25.508138,22.0
2026-04-26 09:14:26.207901,23.0
2026-04-26 09:14:26.807612,23.0
2026-04-26 09:14:27.407861,23.0
2026-04-26 09:14:28.008098,23.0
2026-04-26 09:14:28.709561,24.0
2026-04-26 09:14:29.309085,25.0
2026-04-26 09:14:29.908133,27.0
2026-04-26 09:14:30.507511,28.0
2026-04-26 09:14:31.107658,26.0
2026-04-26 09:14:31.708071,24.0
2026-04-26 09:14:32.407656,23.0
2026-04-26 09:14:33.007849,20.0
2026-04-26 09:14:33.607586,19.0
2026-04-26 09:14:34.208016,20.0
2026-04-26 09:14:34.807564,20.0
2026-04-26 09:14:35.607742,18.0
2026-04-26 09:14:36.207937,17.0
2026-04-26 09:14:36.807624,17.0
2026-04-26 09:14:37.408691,15.0
2026-04-26 09:14:38.008068,12.0
2026-04-26 09:14:38.707594,9.0
2026-04-26 09:14:39.307619,8.0
2026-04-26 09:14:39.907634,10.0
2026-04-26 09:14:40.607730,11.0
2026-04-26 09:14:41.207778,12.0
2026-04-26 09:14:41.808043,13.0
2026-04-26 09:14:42.410122,15.0
2026-04-26 09:14:43.107665,16.0
2026-04-26 09:14:43.707917,18.0
2026-04-26 09:14:44.307733,18.0
2026-04-26 09:14:44.908921,18.0
2026-04-26 09:14:45.607716,18.0
2026-04-26 09:14:46.207589,20.0
2026-04-26 09:14:46.808152,22.0
2026-04-26 09:14:47.408028,20.0
2026-04-26 09:14:48.108554,16.0
2026-04-26 09:14:48.707576,14.0
2026-04-26 09:14:49.307873,14.428571428571429
2026-04-26 09:14:49.909229,14.857142857142858
2026-04-26 09:14:50.507740,15.285714285714285
2026-04-26 09:14:51.208187,15.714285714285714
2026-04-26 09:14:51.808267,16.142857142857142
2026-04-26 09:14:52.410298,16.57142857142857
2026-04-26 09:14:53.007647,17.0
2026-04-26 09:14:53.607970,15.0
2026-04-26 09:14:54.307613,13.0
2026-04-26 09:14:54.907631,16.0
2026-04-26 09:14:55.508156,18.0
2026-04-26 09:14:56.108114,21.0
2026-04-26 09:14:56.712662,22.0
2026-04-26 09:14:57.408422,22.0
2026-04-26 09:14:58.007569,23.0
2026-04-26 09:14:58.607727,24.0
2026-04-26 09:14:59.207685,25.0
2026-04-26 09:14:59.807743,26.0
2026-04-26 09:15:00.508276,26.0
2026-04-26 09:15:01.107534,27.0
2026-04-26 09:15:01.707680,27.0
2026-04-26 09:15:02.308287,27.0
2026-04-26 09:15:02.908250,27.0
2026-04-26 09:15:03.607618,28.0
2026-04-26 09:15:04.207555,28.166666666666668
2026-04-26 09:15:04.807712,28.333333333333332
2026-04-26 09:15:05.407962,28.5
2026-04-26 09:15:06.007503,28.666666666666668
