log_time,breath_rate
2026-05-02 21:13:56.455170,18.0
2026-05-02 21:13:57.056780,19.0
2026-05-02 21:13:57.656847,20.0
2026-05-02 21:13:58.255222,21.0
2026-05-02 21:13:58.955945,20.0
2026-05-02 21:13:59.555154,19.0
2026-05-02 21:14:00.156544,17.0
2026-05-02 21:14:00.755308,13.0
2026-05-02 21:14:01.456793,10.0
2026-05-02 21:14:02.055202,8.0
2026-05-02 21:14:02.655222,8.166666666666666
2026-05-02 21:14:03.256555,8.333333333333334
2026-05-02 21:14:03.955121,8.5
2026-05-02 21:14:04.557763,8.666666666666666
2026-05-02 21:14:05.155427,8.833333333333334
2026-05-02 21:14:05.755692,9.0
2026-05-02 21:14:06.455226,10.0
2026-05-02 21:14:07.056225,11.0
2026-05-02 21:14:07.655243,12.0
2026-05-02 21:14:08.255331,12.0
2026-05-02 21:14:08.955359,11.0
2026-05-02 21:14:09.555374,12.0
2026-05-02 21:14:10.155090,12.0
2026-05-02 21:14:10.755061,13.0
2026-05-02 21:14:11.456753,13.0
2026-05-02 21:14:12.057398,14.0
2026-05-02 21:14:12.659741,13.0
2026-05-02 21:14:13.255061,16.0
2026-05-02 21:14:13.855582,14.0
2026-05-02 21:14:14.456408,11.0
2026-05-02 21:14:15.156269,9.0
2026-05-02 21:14:15.755165,9.157894736842104
2026-05-02 21:14:16.356894,9.31578947368421
2026-05-02 21:14:16.955084,9.473684210526315
2026-05-02 21:14:17.656650,9.631578947368421
2026-05-02 21:14:18.259720,9.789473684210526
2026-05-02 21:14:18.857265,9.947368421052632
2026-05-02 21:14:19.456190,10.105263157894736
2026-05-02 21:14:20.157071,10.263157894736842
2026-05-02 21:14:20.755745,10.421052631578947
2026-05-02 21:14:21.355216,10.578947368421053
2026-05-02 21:14:21.956075,10.736842105263158
2026-05-02 21:14:22.656242,10.894736842105264
2026-05-02 21:14:23.255679,11.052631578947368
2026-05-02 21:14:23.855544,11.210526315789473
2026-05-02 21:14:24.458986,11.368421052631579
2026-05-02 21:14:25.055274,11.526315789473685
2026-05-02 21:14:25.755218,11.68421052631579
2026-05-02 21:14:26.355160,11.842105263157894
