log_time,heart_rate
2026-05-02 21:13:56.455170,81.0
2026-05-02 21:13:57.056780,83.0
2026-05-02 21:13:57.656847,84.0
2026-05-02 21:13:58.255222,85.0
2026-05-02 21:13:58.955945,85.0
2026-05-02 21:13:59.555154,86.0
2026-05-02 21:14:00.156544,87.0
2026-05-02 21:14:00.755308,88.0
2026-05-02 21:14:01.456793,89.0
2026-05-02 21:14:02.055202,90.0
2026-05-02 21:14:02.655222,90.0
2026-05-02 21:14:03.256555,90.0
2026-05-02 21:14:03.955121,91.0
2026-05-02 21:14:04.557763,92.0
2026-05-02 21:14:05.155427,91.0
2026-05-02 21:14:05.755692,90.0
2026-05-02 21:14:06.455226,90.0
2026-05-02 21:14:07.056225,89.0
2026-05-02 21:14:07.655243,91.0
2026-05-02 21:14:08.255331,91.0
2026-05-02 21:14:08.955359,92.0
2026-05-02 21:14:09.555374,93.0
2026-05-02 21:14:10.155090,92.0
2026-05-02 21:14:10.755061,92.0
2026-05-02 21:14:11.456753,92.0
2026-05-02 21:14:12.057398,93.0
2026-05-02 21:14:12.659741,94.0
2026-05-02 21:14:13.255061,96.0
2026-05-02 21:14:13.855582,98.0
2026-05-02 21:14:14.456408,98.0
2026-05-02 21:14:15.156269,96.0
2026-05-02 21:14:15.755165,96.0
2026-05-02 21:14:16.356894,95.0
2026-05-02 21:14:16.955084,95.0
2026-05-02 21:14:17.656650,95.0
2026-05-02 21:14:18.259720,95.0
2026-05-02 21:14:18.857265,95.0
2026-05-02 21:14:19.456190,94.0
2026-05-02 21:14:20.157071,94.0
2026-05-02 21:14:20.755745,94.0
2026-05-02 21:14:21.355216,92.0
2026-05-02 21:14:21.956075,89.0
2026-05-02 21:14:22.656242,87.0
2026-05-02 21:14:23.255679,86.0
2026-05-02 21:14:23.855544,86.0
2026-05-02 21:14:24.458986,85.0
2026-05-02 21:14:25.055274,83.0
2026-05-02 21:14:25.755218,80.0
2026-05-02 21:14:26.355160,78.0
2026-05-02 21:14:26.955209,76.0
2026-05-02 21:14:27.555466,76.0
2026-05-02 21:14:28.155897,76.0
2026-05-02 21:14:28.755276,76.0
2026-05-02 21:14:29.455920,75.0
2026-05-02 21:14:30.056216,74.0
2026-05-02 21:14:30.655225,72.0
2026-05-02 21:14:31.256217,70.0
2026-05-02 21:14:31.855345,68.0
2026-05-02 21:14:32.555587,66.0
2026-05-02 21:14:33.155373,64.0
2026-05-02 21:14:33.855669,64.0
2026-05-02 21:14:34.455117,63.0
2026-05-02 21:14:35.055067,62.0
2026-05-02 21:14:35.655455,61.0
2026-05-02 21:14:36.355388,60.0
2026-05-02 21:14:36.955233,59.0
2026-05-02 21:14:37.555630,61.0
2026-05-02 21:14:38.155187,62.0
2026-05-02 21:14:38.759429,63.0
2026-05-02 21:14:39.357240,63.0
2026-05-02 21:14:40.059591,63.0
2026-05-02 21:14:40.655655,63.0
2026-05-02 21:14:41.255592,66.0
2026-05-02 21:14:41.856326,67.0
2026-05-02 21:14:42.456856,68.0
2026-05-02 21:14:43.160613,69.0
2026-05-02 21:14:43.755400,70.0
2026-05-02 21:14:44.355737,71.0
2026-05-02 21:14:44.958887,71.0
2026-05-02 21:14:45.555431,70.0
2026-05-02 21:14:46.255745,70.0
2026-05-02 21:14:46.855486,69.0
2026-05-02 21:14:47.460594,68.0
2026-05-02 21:14:48.055874,68.0
