log_time,heart_rate
2026-04-29 06:51:03.077308,97.0
2026-04-29 06:51:03.676950,96.0
2026-04-29 06:51:04.276881,96.0
2026-04-29 06:51:04.877393,96.0
2026-04-29 06:51:05.481781,94.0
2026-04-29 06:51:06.177247,92.0
2026-04-29 06:51:06.877985,91.0
2026-04-29 06:51:07.476810,89.0
2026-04-29 06:51:08.076870,87.0
2026-04-29 06:51:08.677906,87.0
2026-04-29 06:51:09.277228,86.0
2026-04-29 06:51:09.977200,85.0
2026-04-29 06:51:10.576947,83.0
2026-04-29 06:51:11.179781,84.0
2026-04-29 06:51:11.777117,86.0
2026-04-29 06:51:12.381152,90.0
2026-04-29 06:51:13.077851,93.0
2026-04-29 06:51:13.677676,95.0
2026-04-29 06:51:14.277639,99.0
2026-04-29 06:51:14.876947,98.0
2026-04-29 06:51:15.478529,95.0
2026-04-29 06:51:16.078889,93.0
2026-04-29 06:51:16.777088,91.0
2026-04-29 06:51:17.378405,87.0
2026-04-29 06:51:17.977215,84.0
2026-04-29 06:51:18.576919,82.0
2026-04-29 06:51:19.176880,79.0
2026-04-29 06:51:19.877526,76.0
2026-04-29 06:51:20.478258,75.0
2026-04-29 06:51:21.077080,73.0
2026-04-29 06:51:21.677117,71.0
2026-04-29 06:51:22.277720,70.0
2026-04-29 06:51:22.876888,68.0
2026-04-29 06:51:23.576807,66.0
2026-04-29 06:51:24.178672,68.0
2026-04-29 06:51:24.776875,71.0
2026-04-29 06:51:25.380083,76.0
2026-04-29 06:51:25.976797,79.0
2026-04-29 06:51:26.576959,82.0
2026-04-29 06:51:27.278396,85.0
2026-04-29 06:51:27.877884,88.0
2026-04-29 06:51:28.476786,90.0
2026-04-29 06:51:29.079148,90.0
2026-04-29 06:51:29.678710,90.0
2026-04-29 06:51:30.377054,92.0
2026-04-29 06:51:30.976829,93.0
2026-04-29 06:51:31.577041,94.0
2026-04-29 06:51:32.176827,97.0
2026-04-29 06:51:32.777467,97.0
2026-04-29 06:51:33.477594,98.0
2026-04-29 06:51:34.078925,98.16666666666667
2026-04-29 06:51:34.678568,98.33333333333333
2026-04-29 06:51:35.279801,98.5
2026-04-29 06:51:35.878529,98.66666666666667
2026-04-29 06:51:36.577639,98.83333333333333
2026-04-29 06:51:37.177228,99.0
