log_time,heart_rate
2026-04-22 07:13:08.334922,73.0
2026-04-22 07:13:08.934993,72.0
2026-04-22 07:13:09.536461,70.0
2026-04-22 07:13:10.234859,69.0
2026-04-22 07:13:10.835007,68.0
2026-04-22 07:13:11.437401,67.0
2026-04-22 07:13:12.035590,66.0
2026-04-22 07:13:12.635151,65.0
2026-04-22 07:13:13.235647,65.0
2026-04-22 07:13:13.935674,64.0
2026-04-22 07:13:14.537294,63.0
2026-04-22 07:13:15.135398,62.0
2026-04-22 07:13:15.737290,65.0
2026-04-22 07:13:16.337600,69.0
2026-04-22 07:13:17.037339,73.0
2026-04-22 07:13:17.638629,75.0
2026-04-22 07:13:18.236328,78.0
2026-04-22 07:13:18.838486,78.0
2026-04-22 07:13:19.437287,81.0
2026-04-22 07:13:20.040329,85.0
2026-04-22 07:13:20.736793,88.0
2026-04-22 07:13:21.338245,92.0
2026-04-22 07:13:21.935928,95.0
2026-04-22 07:13:22.536996,97.0
2026-04-22 07:13:23.139716,96.0
2026-04-22 07:13:23.735066,96.0
2026-04-22 07:13:24.437257,95.0
2026-04-22 07:13:25.035463,93.0
2026-04-22 07:13:25.635488,91.0
2026-04-22 07:13:26.238445,88.0
2026-04-22 07:13:26.840300,86.0
2026-04-22 07:13:27.436151,85.0
2026-04-22 07:13:28.137102,83.0
2026-04-22 07:13:28.734854,82.0
2026-04-22 07:13:29.334976,81.0
2026-04-22 07:13:29.934762,80.0
2026-04-22 07:13:30.535383,82.0
2026-04-22 07:13:31.234886,84.0
2026-04-22 07:13:31.834816,86.0
2026-04-22 07:13:32.434809,88.0
2026-04-22 07:13:33.034723,91.0
2026-04-22 07:13:33.634817,92.0
2026-04-22 07:13:34.234762,94.0
2026-04-22 07:13:34.934759,96.0
2026-04-22 07:13:35.534745,98.0
2026-04-22 07:13:36.135545,100.0
2026-04-22 07:13:36.734865,101.0
2026-04-22 07:13:37.434938,102.0
2026-04-22 07:13:38.134841,103.0
2026-04-22 07:13:38.734981,102.0
2026-04-22 07:13:39.334970,101.0
2026-04-22 07:13:39.934844,100.0
2026-04-22 07:13:40.534879,98.0
2026-04-22 07:13:41.134965,97.0
2026-04-22 07:13:41.834814,95.0
2026-04-22 07:13:42.434757,91.0
2026-04-22 07:13:43.034729,88.0
2026-04-22 07:13:43.634715,85.0
2026-04-22 07:13:44.234721,83.0
2026-04-22 07:13:44.934853,80.0
2026-04-22 07:13:45.534725,77.0
2026-04-22 07:13:46.134865,76.0
2026-04-22 07:13:46.734807,74.0
2026-04-22 07:13:47.334819,75.0
2026-04-22 07:13:47.936105,78.0
2026-04-22 07:13:48.634828,80.0
2026-04-22 07:13:49.234996,83.0
2026-04-22 07:13:49.834814,86.0
2026-04-22 07:13:50.434780,88.0
2026-04-22 07:13:51.034724,88.0
2026-04-22 07:13:51.634944,90.0
2026-04-22 07:13:52.335779,93.0
2026-04-22 07:13:52.934819,95.0
2026-04-22 07:13:53.535247,96.0
2026-04-22 07:13:54.135085,97.0
2026-04-22 07:13:54.735023,100.0
2026-04-22 07:13:55.436540,102.0
2026-04-22 07:13:56.034813,104.0
2026-04-22 07:13:56.635014,104.0
2026-04-22 07:13:57.235149,105.0
2026-04-22 07:13:57.835434,105.0
2026-04-22 07:13:58.435580,104.0
2026-04-22 07:13:59.138363,104.0
2026-04-22 07:13:59.736174,104.0
2026-04-22 07:14:00.339734,105.0
2026-04-22 07:14:00.934777,104.0
2026-04-22 07:14:01.535006,104.0
2026-04-22 07:14:02.235203,105.0
2026-04-22 07:14:02.834794,104.0
2026-04-22 07:14:03.435436,105.0
2026-04-22 07:14:04.035596,107.0
2026-04-22 07:14:04.734974,109.0
