log_time,breath_rate
2026-04-23 05:38:48.868680,21.0
2026-04-23 05:38:49.468657,21.0
2026-04-23 05:38:50.070033,22.0
2026-04-23 05:38:50.768533,22.0
2026-04-23 05:38:51.369981,21.0
2026-04-23 05:38:51.968600,22.0
2026-04-23 05:38:52.568717,22.0
2026-04-23 05:38:53.268571,21.0
2026-04-23 05:38:53.868551,17.0
2026-04-23 05:38:54.468565,14.0
2026-04-23 05:38:55.068586,11.0
2026-04-23 05:38:55.768584,9.0
2026-04-23 05:38:56.368509,8.5
2026-04-23 05:38:56.969909,8.0
2026-04-23 05:38:57.569232,11.0
2026-04-23 05:38:58.268695,12.0
2026-04-23 05:38:58.868776,13.0
2026-04-23 05:38:59.468669,10.0
2026-04-23 05:39:00.168806,8.0
2026-04-23 05:39:00.768651,8.0
2026-04-23 05:39:01.368613,10.0
2026-04-23 05:39:02.069280,11.0
2026-04-23 05:39:02.668558,10.0
2026-04-23 05:39:03.268687,8.0
2026-04-23 05:39:03.869002,8.1
2026-04-23 05:39:04.568594,8.2
2026-04-23 05:39:05.169367,8.3
2026-04-23 05:39:05.768663,8.4
2026-04-23 05:39:06.370274,8.5
2026-04-23 05:39:07.068639,8.6
2026-04-23 05:39:07.669000,8.7
2026-04-23 05:39:08.268708,8.8
2026-04-23 05:39:08.968803,8.9
2026-04-23 05:39:09.568668,9.0
2026-04-23 05:39:10.168979,14.0
2026-04-23 05:39:10.768737,16.0
2026-04-23 05:39:11.469064,17.0
2026-04-23 05:39:12.068660,19.0
2026-04-23 05:39:12.669287,18.0
2026-04-23 05:39:13.268566,18.0
2026-04-23 05:39:13.868534,18.0
2026-04-23 05:39:14.569377,18.0
2026-04-23 05:39:15.168532,18.0
2026-04-23 05:39:15.768607,19.0
2026-04-23 05:39:16.370286,18.0
2026-04-23 05:39:16.968705,18.0
2026-04-23 05:39:17.668760,18.0
2026-04-23 05:39:18.268654,18.0
2026-04-23 05:39:18.869010,18.0
2026-04-23 05:39:19.569137,19.0
2026-04-23 05:39:20.168560,20.0
2026-04-23 05:39:20.868640,21.0
2026-04-23 05:39:21.468814,21.0
2026-04-23 05:39:22.068677,22.0
2026-04-23 05:39:22.668850,22.0
2026-04-23 05:39:23.269457,23.0
2026-04-23 05:39:23.971227,22.0
2026-04-23 05:39:24.569533,21.0
2026-04-23 05:39:25.168606,22.0
2026-04-23 05:39:25.769230,22.0
2026-04-23 05:39:26.369584,22.0
2026-04-23 05:39:27.069244,23.0
2026-04-23 05:39:27.669253,19.0
2026-04-23 05:39:28.269884,15.0
2026-04-23 05:39:28.869488,12.0
2026-04-23 05:39:29.571226,11.0
2026-04-23 05:39:30.170172,13.0
2026-04-23 05:39:30.769031,13.0
2026-04-23 05:39:31.368529,13.0
2026-04-23 05:39:32.068509,13.0
2026-04-23 05:39:32.668583,14.0
2026-04-23 05:39:33.268821,14.0
2026-04-23 05:39:33.869268,11.0
2026-04-23 05:39:34.568737,8.0
2026-04-23 05:39:35.168867,8.0
2026-04-23 05:39:35.768628,8.0
2026-04-23 05:39:36.368601,8.0
2026-04-23 05:39:37.068545,8.0
2026-04-23 05:39:37.668583,8.0
2026-04-23 05:39:38.269995,8.0
2026-04-23 05:39:38.868773,8.0
2026-04-23 05:39:39.568684,8.0
2026-04-23 05:39:40.168495,8.0
2026-04-23 05:39:40.768531,8.25
2026-04-23 05:39:41.468614,8.5
2026-04-23 05:39:42.069028,8.75
2026-04-23 05:39:42.668778,9.0
2026-04-23 05:39:43.268795,12.0
2026-04-23 05:39:43.968605,15.0
2026-04-23 05:39:44.569170,17.0
2026-04-23 05:39:45.169010,17.0
2026-04-23 05:39:45.869584,18.0
2026-04-23 05:39:46.468782,18.166666666666668
2026-04-23 05:39:47.069511,18.333333333333332
2026-04-23 05:39:47.669540,18.5
2026-04-23 05:39:48.368578,18.666666666666668
2026-04-23 05:39:48.969022,18.833333333333332
2026-04-23 05:39:49.570357,19.0
2026-04-23 05:39:50.268732,19.0
2026-04-23 05:39:50.868623,19.0
2026-04-23 05:39:51.468651,19.0
2026-04-23 05:39:52.168621,19.0
2026-04-23 05:39:52.768540,20.0
2026-04-23 05:39:53.370547,20.0
2026-04-23 05:39:54.068853,19.0
2026-04-23 05:39:54.668766,14.0
2026-04-23 05:39:55.269753,11.0
2026-04-23 05:39:55.868896,9.0
2026-04-23 05:39:56.568568,8.970588235294118
2026-04-23 05:39:57.168632,8.941176470588236
2026-04-23 05:39:57.768585,8.911764705882353
2026-04-23 05:39:58.368815,8.882352941176471
2026-04-23 05:39:58.968550,8.852941176470589
2026-04-23 05:39:59.768886,8.823529411764707
2026-04-23 05:40:00.368582,8.794117647058824
2026-04-23 05:40:00.968624,8.764705882352942
2026-04-23 05:40:01.670867,8.735294117647058
2026-04-23 05:40:02.268596,8.705882352941176
2026-04-23 05:40:02.869012,
2026-04-23 05:40:03.468676,
2026-04-23 05:40:04.169873,
2026-04-23 05:40:04.770078,
2026-04-23 05:40:05.368684,
2026-04-23 05:40:05.969044,
2026-04-23 05:40:06.668794,
2026-04-23 05:40:07.269851,
2026-04-23 05:40:07.868730,
2026-04-23 05:40:08.568640,
2026-04-23 05:40:09.168940,
2026-04-23 05:40:09.768559,
2026-04-23 05:40:10.471114,
2026-04-23 05:40:11.069170,8.294117647058824
2026-04-23 05:40:11.668703,8.264705882352942
2026-04-23 05:40:12.368814,8.235294117647058
2026-04-23 05:40:12.968825,8.205882352941176
2026-04-23 05:40:13.568539,8.176470588235293
2026-04-23 05:40:14.268592,8.147058823529411
2026-04-23 05:40:14.868580,8.117647058823529
2026-04-23 05:40:15.468772,8.088235294117647
2026-04-23 05:40:16.069441,8.058823529411764
2026-04-23 05:40:16.768718,8.029411764705882
2026-04-23 05:40:17.368603,8.0
2026-04-23 05:40:17.968639,11.0
2026-04-23 05:40:18.668844,13.0
2026-04-23 05:40:19.268748,13.0
2026-04-23 05:40:19.868522,13.0
2026-04-23 05:40:20.568891,10.0
2026-04-23 05:40:21.168521,8.0
2026-04-23 05:40:21.768564,9.0
2026-04-23 05:40:22.369586,10.0
2026-04-23 05:40:23.068539,14.0
2026-04-23 05:40:23.668589,18.0
2026-04-23 05:40:24.268596,19.0
2026-04-23 05:40:24.969165,20.0
2026-04-23 05:40:25.568755,22.0
2026-04-23 05:40:26.169218,22.0
2026-04-23 05:40:26.868739,23.0
2026-04-23 05:40:27.470418,23.0
2026-04-23 05:40:28.069186,24.0
2026-04-23 05:40:28.770344,21.0
2026-04-23 05:40:29.368684,19.0
2026-04-23 05:40:29.969146,18.0
2026-04-23 05:40:30.568821,20.0
2026-04-23 05:40:31.268805,22.0
2026-04-23 05:40:31.868625,23.0
2026-04-23 05:40:32.568560,24.0
2026-04-23 05:40:33.169379,23.8
2026-04-23 05:40:33.771898,23.6
2026-04-23 05:40:34.368538,23.4
2026-04-23 05:40:35.068663,23.2
2026-04-23 05:40:35.668966,23.0
2026-04-23 05:40:36.268707,22.8
2026-04-23 05:40:36.968813,22.6
2026-04-23 05:40:37.568965,22.4
2026-04-23 05:40:38.168622,22.2
2026-04-23 05:40:38.769370,22.0
2026-04-23 05:40:39.468552,17.0
2026-04-23 05:40:40.168679,13.0
2026-04-23 05:40:40.769032,10.0
2026-04-23 05:40:41.468866,8.0
2026-04-23 05:40:42.068530,8.045454545454545
2026-04-23 05:40:42.668570,8.090909090909092
2026-04-23 05:40:43.368760,8.136363636363637
2026-04-23 05:40:43.969285,8.181818181818182
2026-04-23 05:40:44.569757,8.227272727272727
2026-04-23 05:40:45.269238,8.272727272727273
2026-04-23 05:40:45.868989,8.318181818181818
2026-04-23 05:40:46.468601,8.363636363636363
2026-04-23 05:40:47.068597,8.409090909090908
2026-04-23 05:40:47.769564,8.454545454545455
2026-04-23 05:40:48.372293,
2026-04-23 05:40:48.968885,
2026-04-23 05:40:49.669735,
2026-04-23 05:40:50.270359,
2026-04-23 05:40:50.868842,
2026-04-23 05:40:51.468638,
2026-04-23 05:40:52.170384,
2026-04-23 05:40:52.768852,
2026-04-23 05:40:53.368733,
2026-04-23 05:40:53.968736,
2026-04-23 05:40:54.668646,
2026-04-23 05:40:55.268747,
2026-04-23 05:40:55.868739,
2026-04-23 05:40:56.568508,
2026-04-23 05:40:57.170748,
2026-04-23 05:40:57.768566,
2026-04-23 05:40:58.370883,
2026-04-23 05:40:59.070738,
2026-04-23 05:40:59.671211,
2026-04-23 05:41:00.268548,
2026-04-23 05:41:00.868619,
2026-04-23 05:41:01.468723,
2026-04-23 05:41:02.070264,
2026-04-23 05:41:02.768648,
2026-04-23 05:41:03.368547,
2026-04-23 05:41:03.968592,
2026-04-23 05:41:04.568567,
2026-04-23 05:41:05.268688,
2026-04-23 05:41:05.869082,
2026-04-23 05:41:06.468510,
2026-04-23 05:41:07.069216,
2026-04-23 05:41:07.769302,
2026-04-23 05:41:08.371764,
2026-04-23 05:41:08.969548,
2026-04-23 05:41:09.569086,
2026-04-23 05:41:10.168541,
2026-04-23 05:41:10.868644,
2026-04-23 05:41:11.469278,
2026-04-23 05:41:12.068679,
2026-04-23 05:41:12.669625,
2026-04-23 05:41:13.368909,
2026-04-23 05:41:13.968700,
2026-04-23 05:41:14.569689,
2026-04-23 05:41:15.168579,
2026-04-23 05:41:15.768584,
2026-04-23 05:41:16.469805,10.545454545454545
2026-04-23 05:41:17.068625,10.59090909090909
2026-04-23 05:41:17.668555,10.636363636363637
2026-04-23 05:41:17.869239,10.681818181818182
2026-04-23 05:41:18.568795,10.727272727272727
2026-04-23 05:41:19.168586,10.772727272727273
2026-04-23 05:41:19.768610,10.818181818181818
2026-04-23 05:41:20.370141,10.863636363636363
2026-04-23 05:41:20.968575,10.90909090909091
2026-04-23 05:41:21.669271,10.954545454545455
2026-04-23 05:41:22.270047,11.0
2026-04-23 05:41:22.868704,14.0
2026-04-23 05:41:23.468689,16.0
2026-04-23 05:41:24.069221,17.0
2026-04-23 05:41:24.768569,17.0
2026-04-23 05:41:25.370310,18.0
2026-04-23 05:41:25.968594,18.0
2026-04-23 05:41:26.568984,18.0
2026-04-23 05:41:27.268631,19.0
2026-04-23 05:41:27.870284,18.0
2026-04-23 05:41:28.470366,17.0
2026-04-23 05:41:29.068849,16.0
2026-04-23 05:41:29.669121,16.0
2026-04-23 05:41:30.268590,15.0
2026-04-23 05:41:30.968594,16.0
2026-04-23 05:41:31.570284,12.0
2026-04-23 05:41:32.169104,13.0
2026-04-23 05:41:32.768762,13.0
2026-04-23 05:41:33.368613,11.0
2026-04-23 05:41:34.069986,9.0
2026-04-23 05:41:34.669404,9.333333333333334
2026-04-23 05:41:35.268550,9.666666666666666
