log_time,heart_rate
2026-05-05 00:07:36.488538,100.0
2026-05-05 00:07:37.088851,99.0
2026-05-05 00:07:37.788994,98.0
2026-05-05 00:07:38.389962,97.0
2026-05-05 00:07:38.989552,96.0
2026-05-05 00:07:39.588882,94.0
2026-05-05 00:07:40.188637,93.0
2026-05-05 00:07:40.889023,93.0
2026-05-05 00:07:41.488958,92.0
2026-05-05 00:07:42.088490,92.0
2026-05-05 00:07:42.692355,94.0
2026-05-05 00:07:43.288531,94.0
2026-05-05 00:07:43.989329,97.0
2026-05-05 00:07:44.590487,99.0
2026-05-05 00:07:45.190673,102.0
2026-05-05 00:07:45.790848,104.0
2026-05-05 00:07:46.488716,106.0
2026-05-05 00:07:47.088515,108.0
2026-05-05 00:07:47.688573,107.0
2026-05-05 00:07:48.388556,107.0
2026-05-05 00:07:48.988695,107.0
2026-05-05 00:07:49.589136,108.0
2026-05-05 00:07:50.188740,107.0
2026-05-05 00:07:50.889243,104.0
2026-05-05 00:07:51.488760,104.0
2026-05-05 00:07:52.088621,105.0
2026-05-05 00:07:52.689606,105.0
2026-05-05 00:07:53.388495,103.0
2026-05-05 00:07:53.988568,103.0
2026-05-05 00:07:54.588652,104.0
2026-05-05 00:07:55.188526,101.0
2026-05-05 00:07:55.788547,98.0
2026-05-05 00:07:56.488451,95.0
2026-05-05 00:07:57.088464,91.0
2026-05-05 00:07:57.688934,88.0
2026-05-05 00:07:58.288590,85.0
2026-05-05 00:07:59.088647,83.0
2026-05-05 00:07:59.688777,80.0
2026-05-05 00:08:00.289924,79.0
2026-05-05 00:08:00.888468,77.0
2026-05-05 00:08:01.589741,76.0
2026-05-05 00:08:02.188488,75.0
2026-05-05 00:08:02.789161,75.0
2026-05-05 00:08:03.390126,73.0
2026-05-05 00:08:03.989678,72.0
2026-05-05 00:08:04.688614,71.0
2026-05-05 00:08:05.290184,70.0
2026-05-05 00:08:05.890385,70.0
2026-05-05 00:08:06.489053,69.0
2026-05-05 00:08:07.088462,70.0
2026-05-05 00:08:07.788724,70.0
2026-05-05 00:08:08.389246,72.0
2026-05-05 00:08:08.989633,71.0
2026-05-05 00:08:09.591159,73.0
2026-05-05 00:08:10.188458,78.0
2026-05-05 00:08:10.889424,82.0
2026-05-05 00:08:11.488480,85.0
2026-05-05 00:08:12.089136,86.0
2026-05-05 00:08:12.688699,88.0
2026-05-05 00:08:13.388488,88.0
2026-05-05 00:08:13.988487,88.0
2026-05-05 00:08:14.590577,86.0
2026-05-05 00:08:15.188519,85.0
2026-05-05 00:08:15.888665,84.0
2026-05-05 00:08:16.488543,84.0
2026-05-05 00:08:17.088955,83.0
2026-05-05 00:08:17.688667,82.0
2026-05-05 00:08:18.388442,81.0
2026-05-05 00:08:18.988631,80.0
2026-05-05 00:08:19.588720,79.0
2026-05-05 00:08:20.189726,79.0
2026-05-05 00:08:20.889933,79.0
2026-05-05 00:08:21.488496,78.0
2026-05-05 00:08:22.089329,76.0
